"filename", "language", "Python", "Batch", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "Ini", "HTML", "JSON", "pip requirements", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\LuckyBoxGame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 10, 95
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\OpeningActionTutorial.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 5, 110
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\OrlanBoxGame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341, 0, 0, 29, 370
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\PlayerStyleSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 21, 225
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\PortraitTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 10, 24, 212
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\SaveLoadPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 13, 115
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\SceneBgTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 14, 24, 292
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\SkillEffectOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 12, 25, 250
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\StartDND.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 12, 147
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\TavernDicePoker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 732, 0, 2, 65, 799
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\TestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 24, 255
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\TitleMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 7, 79
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\TutorialOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 8, 15, 223
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\VisualNovelStage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 0, 12, 36, 275
"c:\Users\黄锦意\Desktop\demo02\frontend\src\components\YachtDiceTestScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 420, 0, 10, 53, 483
"c:\Users\黄锦意\Desktop\demo02\frontend\src\content\core\contentPack.test.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\黄锦意\Desktop\demo02\frontend\src\content\core\contentPack.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\黄锦意\Desktop\demo02\frontend\src\content\core\contentRegistry.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\黄锦意\Desktop\demo02\frontend\src\content\core\validateContentPack.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\黄锦意\Desktop\demo02\frontend\src\content\packs\base\index.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\actions\battlePrepResolver.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\actions\battleResolver.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\actions\itemResolver.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\actions\registry.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\actions\types.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\battle\authoritativeAdapter.test.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\黄锦意\Desktop\demo02\frontend\src\core\battle\authoritativeAdapter.ts", "TypeScript", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 254
